Rk,Player,Pos,Age,Date,Lg,Tm,"",Opp,Result,G#,Week,Day,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
101,Sterling Shepard,WR,26.210,2019-09-08,NFL,NYG,@,DAL,L 17-35,1,1,Sun,4.20,10.2,10.2,7.2,0,0,0,0,0,0,0,0,6,42,0,0,"","","",""
102,Hunter Henry,TE,24.275,2019-09-08,NFL,LAC,"",IND,W 30-24,1,1,Sun,6.00,10.0,10.0,8.0,0,0,0,0,0,0,0,0,4,60,0,0,"","","",""
103,Marvin Jones,WR,29.180,2019-09-08,NFL,DET,@,ARI,T 27-27,1,1,Sun,6.00,10.0,10.0,8.0,0,0,0,0,0,1,4,0,4,56,0,0,"","","",""
104,Mike Davis,RB,26.198,2019-09-05,NFL,CHI,"",GNB,L 3-10,1,1,Thu,3.60,9.6,9.6,6.6,0,0,0,0,0,5,19,0,6,17,0,0,"","","",""
105,KeeSean Johnson,WR,22.334,2019-09-08,NFL,ARI,"",DET,T 27-27,1,1,Sun,4.60,9.6,9.6,7.1,0,0,0,0,0,0,0,0,5,46,0,0,"","","",""
106,Carlos Hyde,RB,28.354,2019-09-09,NFL,HOU,@,NOR,L 28-30,1,1,Mon,8.50,9.5,9.5,9.0,0,0,0,0,0,10,83,0,1,2,0,0,"","","",""
107,Marquez Valdes-Scantling,WR,24.330,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,5.20,9.2,9.2,7.2,0,0,0,0,0,1,0,0,4,52,0,0,"","","",""
108,Cole Beasley,WR,30.135,2019-09-08,NFL,BUF,@,NYJ,W 17-16,1,1,Sun,4.00,9.0,9.0,6.5,0,0,0,0,0,0,0,0,5,40,0,0,"","","",""
109,Bennie Fowler,WR,28.090,2019-09-08,NFL,NYG,@,DAL,L 17-35,1,1,Sun,4.00,9.0,9.0,6.5,0,0,0,0,0,0,0,0,5,40,0,0,"","","",""
110,Will Fuller,WR,25.146,2019-09-09,NFL,HOU,@,NOR,L 28-30,1,1,Mon,6.90,8.9,8.9,7.9,0,0,0,0,0,0,0,0,2,69,0,0,"","","",""
111,Ryan Switzer,WR,24.308,2019-09-08,NFL,PIT,@,NWE,L 3-33,1,1,Sun,2.90,8.9,8.9,5.9,0,0,0,0,0,0,0,0,6,29,0,0,"","","",""
112,Dontrell Hilliard,RB,24.194,2019-09-08,NFL,CLE,"",TEN,L 13-43,1,1,Sun,7.80,8.8,8.8,8.3,0,0,0,0,0,1,4,1,1,14,0,0,"","","",""
113,Giovani Bernard,HB,27.290,2019-09-08,NFL,CIN,@,SEA,L 20-21,1,1,Sun,6.30,8.3,8.3,7.3,0,0,0,0,0,7,21,0,2,42,0,1,"","","",""
114,Damiere Byrd,WR,26.224,2019-09-08,NFL,ARI,"",DET,T 27-27,1,1,Sun,4.20,8.2,8.2,6.2,0,0,0,0,0,0,0,0,4,42,0,0,"","","",""
115,Kerryon Johnson,RB,22.070,2019-09-08,NFL,DET,@,ARI,T 27-27,1,1,Sun,6.20,8.2,8.2,7.2,0,0,0,0,0,16,49,0,2,13,0,0,"","","",""
116,Justin Hardy,WR,27.264,2019-09-08,NFL,ATL,@,MIN,L 12-28,1,1,Sun,4.10,8.1,8.1,6.1,0,0,0,0,0,0,0,0,4,41,0,0,"","","",""
117,Tyler Eifert,TE,29.000,2019-09-08,NFL,CIN,@,SEA,L 20-21,1,1,Sun,2.70,7.7,7.7,5.2,0,0,0,0,0,0,0,0,5,27,0,0,"","","",""
118,Davante Adams,WR,26.255,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,3.60,7.6,7.6,5.6,0,0,0,0,0,0,0,0,4,36,0,0,"","","",""
119,Tevin Coleman,RB,26.145,2019-09-08,NFL,SFO,@,TAM,W 31-17,1,1,Sun,5.60,7.6,7.6,6.6,0,0,0,0,0,6,23,0,2,33,0,0,"","","",""
120,Greg Olsen,TE,34.181,2019-09-08,NFL,CAR,"",LAR,L 27-30,1,1,Sun,3.60,7.6,7.6,5.6,0,0,0,0,0,0,0,0,4,36,0,0,"","","",""
Rk,Player,Pos,Age,Date,Lg,Tm,"",Opp,Result,G#,Week,Day,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
121,Paul Richardson,WR,27.148,2019-09-08,NFL,WAS,@,PHI,L 27-32,1,1,Sun,3.60,7.6,7.6,5.6,0,0,0,0,0,0,0,0,4,36,0,0,"","","",""
122,Miles Boykin,WR,22.331,2019-09-08,NFL,BAL,@,MIA,W 59-10,1,1,Sun,6.50,7.5,7.5,7.0,0,0,0,0,0,0,0,0,1,5,1,0,"","","",""
123,Jordan Howard,RB,24.310,2019-09-08,NFL,PHI,"",WAS,W 32-27,1,1,Sun,5.50,7.5,7.5,6.5,0,0,0,0,0,6,44,0,2,11,0,0,"","","",""
124,Dare Ogunbowale,RB,25.127,2019-09-08,NFL,TAM,"",SFO,L 17-31,1,1,Sun,3.30,7.3,7.3,5.3,0,0,0,0,0,0,0,0,4,33,0,0,"","","",""
125,James O'Shaughnessy,TE,27.237,2019-09-08,NFL,JAX,"",KAN,L 26-40,1,1,Sun,3.20,7.2,7.2,5.2,0,0,0,0,0,0,0,0,4,32,0,0,"","","",""
126,Royce Freeman,RB,23.197,2019-09-09,NFL,DEN,@,OAK,L 16-24,1,1,Mon,6.10,7.1,7.1,6.6,0,0,0,0,0,10,56,0,1,5,0,0,"","","",""
127,Hayden Hurst,TE,26.015,2019-09-08,NFL,BAL,@,MIA,W 59-10,1,1,Sun,4.10,7.1,7.1,5.6,0,0,0,0,0,0,0,0,3,41,0,0,"","","",""
