Player,Week,Pts,Pts2,TotalPts,ordering
Aaron Jones,1,4.9,0,4.9,13
Dalvin Cook,1,0,0,0,6.5
Julio Jones,1,0,0,0,6.5
Chris Godwin,1,0,0,0,6.5
Travis Kelce,1,0,0,0,6.5
Austin Ekeler,1,0,0,0,6.5
Ezekiel Elliott,1,0,0,0,6.5
Nick Chubb,1,0,0,0,6.5
Michael Thomas,1,0,0,0,6.5
Cooper Kupp,1,0,0,0,6.5
Derrick Henry,1,0,0,0,6.5
Leonard Fournette,1,0,0,0,6.5
Christian McCaffrey,1,0,0,0,6.5
Dalvin Cook,2,28.1,0,28.1,12
Julio Jones,2,27.6,0,27.6,11
Chris Godwin,2,26.1,0,26.1,10
Aaron Jones,2,25,0,29.9,13
Travis Kelce,2,23.7,0,23.7,9
Austin Ekeler,2,23.3,0,23.3,8
Ezekiel Elliott,2,20,0,20,7
Nick Chubb,2,19.8,0,19.8,6
Michael Thomas,2,18.9,0,18.9,5
Cooper Kupp,2,17.6,0,17.6,4
Derrick Henry,2,17.4,0,17.4,3
Leonard Fournette,2,12.7,0,12.7,2
Christian McCaffrey,2,7.3,0,7.3,1
Cooper Kupp,3,33.1,0,50.7,11
Christian McCaffrey,3,27.8,0,35.1,4
Julio Jones,3,26.8,0,54.4,13
Dalvin Cook,3,24.3,0,52.4,12
Nick Chubb,3,17.1,0,36.9,7
Michael Thomas,3,16.4,0,35.3,5
Ezekiel Elliott,3,15.9,0,35.9,6
Travis Kelce,3,15.9,0,39.6,9
Aaron Jones,3,15.3,0,45.2,10
Leonard Fournette,3,15.2,0,27.9,1
Austin Ekeler,3,15.1,0,38.4,8
Derrick Henry,3,11.6,0,29,2
Chris Godwin,3,7,0,33.1,3
Chris Godwin,4,41.2,0,74.3,11
Nick Chubb,4,39.3,0,76.2,12
Christian McCaffrey,4,33.9,0,69,9
Austin Ekeler,4,29.2,0,67.6,8
Cooper Kupp,4,26.9,0,77.6,13
Leonard Fournette,4,26.5,0,54.4,4
Dalvin Cook,4,19,0,71.4,10
Michael Thomas,4,18.5,0,53.8,3
Aaron Jones,4,17.8,0,63,6
Ezekiel Elliott,4,16.5,0,52.4,2
Travis Kelce,4,15.5,0,55.1,5
Derrick Henry,4,11.8,0,40.8,1
Julio Jones,4,9.3,0,63.7,7
Aaron Jones,5,49.2,0,112.2,12
Christian McCaffrey,5,47.7,0,116.7,13
Michael Thomas,5,41.2,0,95,8
Chris Godwin,5,31.5,0,105.8,11
Cooper Kupp,5,26.7,0,104.3,10
Dalvin Cook,5,25.8,0,97.2,9
Leonard Fournette,5,23.7,0,78.1,5
Austin Ekeler,5,22.3,0,89.9,7
Ezekiel Elliott,5,17.1,0,69.5,3
Derrick Henry,5,13.8,0,54.6,1
Travis Kelce,5,11,0,66.1,2
Nick Chubb,5,10.9,0,87.1,6
Julio Jones,5,7.2,0,70.9,4
Nick Chubb,6,28.9,0,116,10
Ezekiel Elliott,6,26.3,0,95.8,5
Chris Godwin,6,25.1,0,130.9,12
Christian McCaffrey,6,21.7,0,138.4,13
Julio Jones,6,18.8,0,89.7,3
Leonard Fournette,6,17.8,0,95.9,6
Michael Thomas,6,16.9,0,111.9,9
Dalvin Cook,6,13.4,0,110.6,8
Travis Kelce,6,9.8,0,75.9,2
Aaron Jones,6,8,0,120.2,11
Austin Ekeler,6,5.8,0,95.7,4
Cooper Kupp,6,5.7,0,110,7
Derrick Henry,6,4.3,0,58.9,1
Dalvin Cook,7,27.9,0,138.5,10.5
Ezekiel Elliott,7,26.7,0,122.5,7
Austin Ekeler,7,25.5,0,121.2,6
Michael Thomas,7,22.1,0,134,9
Aaron Jones,7,18.3,0,138.5,10.5
Derrick Henry,7,17.8,0,76.7,1
Leonard Fournette,7,16.5,0,112.4,4
Julio Jones,7,15.3,0,105,3
Cooper Kupp,7,11,0,121,5
Travis Kelce,7,10.4,0,86.3,2
Christian McCaffrey,7,27.5,0,165.9,13
Nick Chubb,7,10.8,0,126.8,8
Chris Godwin,7,10.3,0,141.2,12
Aaron Jones,8,41.6,0,180.1,12
Cooper Kupp,8,35,0,156,9
Dalvin Cook,8,28.1,0,166.6,11
Michael Thomas,8,27.3,0,161.3,10
Julio Jones,8,25.2,0,130.2,3
Leonard Fournette,8,20.6,0,133,5
Travis Kelce,8,16.3,0,102.6,2
Austin Ekeler,8,10.2,0,131.4,4
Derrick Henry,8,7.3,0,84,1
Christian McCaffrey,8,37.6,0,203.5,13
Ezekiel Elliott,8,13.9,0,136.4,6
Chris Godwin,8,13.9,0,155.1,8
Nick Chubb,8,13.1,0,139.9,7
Derrick Henry,9,24.9,0,108.9,1
Dalvin Cook,9,15.6,0,182.2,10
Austin Ekeler,9,13.3,0,144.7,4.5
Travis Kelce,9,13.2,0,115.8,2
Leonard Fournette,9,12.2,0,145.2,6
Aaron Jones,9,3.9,0,184,11
Michael Thomas,9,28.2,0,189.5,12
Christian McCaffrey,9,26.1,0,229.6,13
Nick Chubb,9,14.1,0,154,7
Chris Godwin,9,13.4,0,168.5,9
Julio Jones,9,10.9,0,141.1,3
Ezekiel Elliott,9,8.3,0,144.7,4.5
Cooper Kupp,9,0,0,156,8
Derrick Henry,10,33.1,0,142,2
Dalvin Cook,10,31.3,0,213.5,11
Aaron Jones,10,27.3,0,211.3,10
Travis Kelce,10,20.5,0,136.3,1
Austin Ekeler,10,12.8,0,157.5,4
Christian McCaffrey,10,30.1,0,259.7,13
